datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:48:26.000,-123.5621371,48.1442927,296984.81,130824.95,1.27
2018-Jul-25 22:48:26.000,-123.5621358,48.1442976,296984.92,130825.49,1.29
2018-Jul-25 22:48:27.000,-123.5621346,48.1443024,296985.03,130826.02,1.28
2018-Jul-25 22:48:28.000,-123.5621343,48.1443084,296985.08,130826.68,1.20
2018-Jul-25 22:48:29.000,-123.5621332,48.1443129,296985.18,130827.18,1.17
2018-Jul-25 22:48:30.000,-123.5621335,48.1443176,296985.18,130827.70,1.17
2018-Jul-25 22:48:31.000,-123.5621343,48.1443222,296985.13,130828.22,1.16
2018-Jul-25 22:48:32.000,-123.5621341,48.1443268,296985.17,130828.73,1.14
2018-Jul-25 22:48:34.000,-123.5621293,48.1443302,296985.54,130829.09,1.17
2018-Jul-25 22:48:34.000,-123.5621235,48.1443335,296985.98,130829.44,1.18
2018-Jul-25 22:48:35.000,-123.5621187,48.1443379,296986.36,130829.93,1.10
2018-Jul-25 22:48:36.000,-123.5621158,48.1443440,296986.60,130830.59,1.11
2018-Jul-25 22:48:36.000,-123.5621147,48.1443488,296986.70,130831.12,1.09
2018-Jul-25 22:48:37.000,-123.5621137,48.1443535,296986.79,130831.65,1.06
2018-Jul-25 22:48:38.000,-123.5621127,48.1443587,296986.89,130832.22,1.08
2018-Jul-25 22:48:38.000,-123.5621117,48.1443636,296986.98,130832.76,1.14
2018-Jul-25 22:48:39.000,-123.5621101,48.1443702,296987.12,130833.49,1.13
2018-Jul-25 22:48:39.000,-123.5621081,48.1443750,296987.29,130834.01,1.14
2018-Jul-25 22:48:40.000,-123.5621058,48.1443801,296987.48,130834.57,1.16
2018-Jul-25 22:48:41.000,-123.5621025,48.1443882,296987.76,130835.47,1.18
2018-Jul-25 22:48:41.000,-123.5620980,48.1443969,296988.13,130836.43,1.13
2018-Jul-25 22:48:42.000,-123.5620946,48.1444054,296988.42,130837.36,1.12
2018-Jul-25 22:48:43.000,-123.5620910,48.1444137,296988.71,130838.27,1.17
2018-Jul-25 22:48:43.000,-123.5620872,48.1444215,296989.03,130839.12,1.12
2018-Jul-25 22:48:44.000,-123.5620836,48.1444301,296989.33,130840.07,1.18
2018-Jul-25 22:48:44.000,-123.5620802,48.1444387,296989.62,130841.02,1.15
2018-Jul-25 22:48:45.000,-123.5620776,48.1444476,296989.85,130842.00,1.16
2018-Jul-25 22:48:46.000,-123.5620740,48.1444551,296990.14,130842.82,1.16
2018-Jul-25 22:48:46.000,-123.5620711,48.1444630,296990.39,130843.70,1.15
2018-Jul-25 22:48:47.000,-123.5620677,48.1444701,296990.67,130844.47,1.16
2018-Jul-25 22:48:47.000,-123.5620652,48.1444775,296990.89,130845.29,1.18
2018-Jul-25 22:48:48.000,-123.5620629,48.1444854,296991.09,130846.17,1.27
2018-Jul-25 22:48:49.000,-123.5620605,48.1444916,296991.29,130846.85,1.22
2018-Jul-25 22:48:49.000,-123.5620590,48.1444971,296991.42,130847.45,1.21
2018-Jul-25 22:48:50.000,-123.5620578,48.1445037,296991.54,130848.18,1.25
2018-Jul-25 22:48:50.000,-123.5620569,48.1445104,296991.63,130848.93,1.20
2018-Jul-25 22:48:51.000,-123.5620564,48.1445165,296991.70,130849.60,1.14
2018-Jul-25 22:48:52.000,-123.5620555,48.1445237,296991.79,130850.40,1.11
2018-Jul-25 22:48:52.000,-123.5620553,48.1445297,296991.83,130851.07,1.10
2018-Jul-25 22:48:53.000,-123.5620555,48.1445351,296991.84,130851.66,1.11
2018-Jul-25 22:48:53.000,-123.5620554,48.1445414,296991.86,130852.37,1.10
2018-Jul-25 22:48:54.000,-123.5620553,48.1445479,296991.90,130853.08,1.11
2018-Jul-25 22:48:55.000,-123.5620552,48.1445542,296991.93,130853.78,1.12
2018-Jul-25 22:48:55.000,-123.5620549,48.1445601,296991.98,130854.44,1.02
2018-Jul-25 22:48:56.000,-123.5620548,48.1445659,296992.01,130855.09,1.10
2018-Jul-25 22:48:56.000,-123.5620550,48.1445711,296992.02,130855.67,1.12
2018-Jul-25 22:48:57.000,-123.5620546,48.1445766,296992.06,130856.28,1.09
2018-Jul-25 22:48:58.000,-123.5620536,48.1445831,296992.16,130856.99,1.13
2018-Jul-25 22:48:58.000,-123.5620524,48.1445898,296992.28,130857.74,1.13
2018-Jul-25 22:48:59.000,-123.5620522,48.1445954,296992.32,130858.36,1.13
2018-Jul-25 22:48:59.000,-123.5620522,48.1446010,296992.34,130858.99,1.13
2018-Jul-25 22:49:00.000,-123.5620514,48.1446076,296992.43,130859.71,1.03
2018-Jul-25 22:49:01.000,-123.5620514,48.1446135,296992.45,130860.37,1.06
2018-Jul-25 22:49:01.000,-123.5620526,48.1446189,296992.38,130860.96,1.08
2018-Jul-25 22:49:02.000,-123.5620533,48.1446247,296992.35,130861.61,1.03
2018-Jul-25 22:49:02.000,-123.5620538,48.1446308,296992.34,130862.30,1.06
2018-Jul-25 22:49:03.000,-123.5620543,48.1446369,296992.32,130862.98,1.01
2018-Jul-25 22:49:04.000,-123.5620547,48.1446432,296992.32,130863.68,1.04
2018-Jul-25 22:49:05.000,-123.5620558,48.1446555,296992.29,130865.04,1.00
2018-Jul-25 22:49:05.000,-123.5620565,48.1446610,296992.26,130865.66,1.02
2018-Jul-25 22:49:06.000,-123.5620575,48.1446669,296992.20,130866.32,1.04
2018-Jul-25 22:49:07.000,-123.5620585,48.1446732,296992.15,130867.01,1.08
2018-Jul-25 22:49:07.000,-123.5620606,48.1446777,296992.02,130867.53,1.10
2018-Jul-25 22:49:08.000,-123.5620629,48.1446825,296991.86,130868.06,1.10
2018-Jul-25 22:49:08.000,-123.5620644,48.1446881,296991.78,130868.70,1.08
2018-Jul-25 22:49:09.000,-123.5620672,48.1446929,296991.58,130869.24,1.11
